activation,layers,width,mse,train_time_sec
tanh,1,1,37.843082427978516,1.29488205909729
tanh,1,2,3.584069013595581,1.283107042312622
tanh,1,3,0.08474698662757874,1.29433012008667
tanh,1,4,0.4502919018268585,1.2393529415130615
tanh,1,5,0.4165309965610504,1.2634010314941406
tanh,1,6,1.1323049068450928,1.2927727699279785
tanh,1,7,0.06132056564092636,1.2659022808074951
tanh,1,8,0.04918195679783821,1.2437710762023926
tanh,1,9,0.40698254108428955,1.3080048561096191
tanh,1,10,0.009808334521949291,1.2621588706970215
tanh,1,11,0.014967579394578934,1.2589130401611328
tanh,1,12,0.0020348287653177977,1.298130989074707
tanh,1,13,0.009405914694070816,1.282052755355835
tanh,1,14,0.17674879729747772,1.2689030170440674
tanh,1,15,0.015179898589849472,1.2812371253967285
tanh,1,16,0.009760566055774689,1.2757041454315186
tanh,1,17,0.010231630876660347,1.309494972229004
tanh,1,18,0.007679250091314316,1.2898271083831787
tanh,1,19,0.004314448218792677,1.2799062728881836
tanh,1,20,0.009649924002587795,1.2706408500671387
tanh,2,1,48.453857421875,1.8430278301239014
tanh,2,2,48.46101379394531,1.8147881031036377
tanh,2,3,36.48863983154297,1.838897943496704
tanh,2,4,0.035396069288253784,1.8682448863983154
tanh,2,5,0.006200791802257299,1.855553150177002
tanh,2,6,0.02349047176539898,1.8670828342437744
tanh,2,7,0.0032809399999678135,1.8793318271636963
tanh,2,8,0.0009946919744834304,1.8520231246948242
tanh,2,9,0.007271491456776857,1.9035491943359375
tanh,2,10,0.0030465214513242245,1.8967628479003906
tanh,2,11,0.0052756043151021,1.9084951877593994
tanh,2,12,0.0008872573962435126,1.908527135848999
tanh,2,13,0.0006761047407053411,1.91013503074646
tanh,2,14,0.004077025223523378,1.9720830917358398
tanh,2,15,0.000476731889648363,2.0118491649627686
tanh,2,16,0.0008080743718892336,2.012147903442383
tanh,2,17,0.0021682698279619217,1.9590861797332764
tanh,2,18,0.0034591692965477705,2.0709240436553955
tanh,2,19,0.005011763423681259,2.01712703704834
tanh,2,20,0.0016135881887748837,2.0139081478118896
tanh,3,1,36.94154739379883,2.385749101638794
tanh,3,2,0.3454301059246063,2.4196579456329346
tanh,3,3,0.01788712665438652,2.449869155883789
tanh,3,4,0.07382725924253464,2.398653984069824
tanh,3,5,0.009040411561727524,2.4164443016052246
tanh,3,6,0.0010427136439830065,2.457961082458496
tanh,3,7,0.0008451094618067145,2.5213260650634766
tanh,3,8,0.00388147821649909,2.441498041152954
tanh,3,9,0.0026604796294122934,2.490342855453491
tanh,3,10,0.0002840677625499666,2.528400182723999
tanh,3,11,0.0009931509848684072,2.576906442642212
tanh,3,12,0.0004915129975415766,2.555973768234253
tanh,3,13,0.0029307499062269926,2.5795559883117676
tanh,3,14,0.0033194636926054955,2.6480398178100586
tanh,3,15,0.004026841837912798,2.7148520946502686
tanh,3,16,0.0026524073909968138,2.6082680225372314
tanh,3,17,0.0005109935300424695,2.6136891841888428
tanh,3,18,0.0008031640900298953,2.6739308834075928
tanh,3,19,0.0009720693342387676,2.644678831100464
tanh,3,20,0.0014749753754585981,2.666656970977783
tanh,4,1,37.005733489990234,2.9411461353302
tanh,4,2,48.46101379394531,2.936352014541626
tanh,4,3,0.00882020965218544,2.996429204940796
tanh,4,4,0.000690144021064043,2.9892921447753906
tanh,4,5,0.0011934884823858738,3.0043017864227295
tanh,4,6,0.00046334118815138936,3.0238380432128906
tanh,4,7,0.001648826990276575,3.1295080184936523
tanh,4,8,0.0005364223616197705,3.0286169052124023
tanh,4,9,0.0010975279146805406,3.047888994216919
tanh,4,10,0.0005373552558012307,3.133173942565918
tanh,4,11,0.006381350569427013,3.242180109024048
tanh,4,12,0.0007905896054580808,3.1844379901885986
tanh,4,13,0.0012272725580260158,3.329158067703247
tanh,4,14,0.0011563228908926249,3.334564685821533
tanh,4,15,0.00046976140583865345,3.351269006729126
tanh,4,16,0.0001282355806324631,3.2936713695526123
tanh,4,17,0.00021099903096910566,3.3246142864227295
tanh,4,18,0.0027039549313485622,3.334519863128662
tanh,4,19,0.0037987669929862022,3.3688299655914307
tanh,4,20,0.00020858705102000386,3.3614020347595215
tanh,5,1,36.034751892089844,3.4648680686950684
tanh,5,2,0.24237698316574097,3.5223491191864014
tanh,5,3,0.004522861912846565,3.566025972366333
tanh,5,4,0.0025802976451814175,3.5024709701538086
tanh,5,5,0.0015904479660093784,3.5770628452301025
tanh,5,6,0.0010549994185566902,3.617992877960205
tanh,5,7,0.000231841579079628,3.674053192138672
tanh,5,8,0.0035042446106672287,3.5601608753204346
tanh,5,9,0.0004394919378682971,3.591066837310791
tanh,5,10,0.001338527537882328,3.795038938522339
tanh,5,11,0.00012187407992314547,3.881601095199585
tanh,5,12,0.0026866686530411243,3.7602503299713135
tanh,5,13,0.0014724826905876398,3.904057741165161
tanh,5,14,0.0037377148400992155,3.984710931777954
tanh,5,15,0.003256267635151744,4.14545464515686
tanh,5,16,0.0002859063388314098,3.899874210357666
tanh,5,17,0.0008420264930464327,3.9022839069366455
tanh,5,18,0.0027127445209771395,3.968559980392456
tanh,5,19,0.0039710295386612415,3.9816391468048096
tanh,5,20,0.0018983186455443501,4.068939924240112
tanh,6,1,37.321163177490234,4.035222053527832
tanh,6,2,0.007519157137721777,4.182070016860962
tanh,6,3,0.0013741025468334556,4.226554870605469
tanh,6,4,0.0011004396947100759,4.181509017944336
tanh,6,5,0.004908956121653318,4.4130048751831055
tanh,6,6,0.00040087237721309066,4.318808078765869
tanh,6,7,0.00022219472157303244,4.4917192459106445
tanh,6,8,0.00034136808244511485,4.267523765563965
tanh,6,9,0.0016533812740817666,4.420241832733154
tanh,6,10,0.0009265225962735713,4.695820093154907
tanh,6,11,0.0032715953420847654,4.84035587310791
tanh,6,12,0.00010235088120680302,4.7472450733184814
tanh,6,13,0.00019288431212771684,4.726222991943359
tanh,6,14,0.00295627792365849,4.801259994506836
tanh,6,15,0.0007789544761180878,5.059698104858398
tanh,6,16,0.004490671679377556,4.637840032577515
tanh,6,17,0.004153820686042309,4.741353988647461
tanh,6,18,0.0009463800233788788,4.880756855010986
tanh,6,19,0.0006312819314189255,4.753154993057251
tanh,6,20,0.0033993578981608152,4.787944793701172
tanh,7,1,48.46101379394531,4.7562501430511475
tanh,7,2,0.0020316634327173233,4.9471049308776855
tanh,7,3,0.000675964925903827,4.9203431606292725
tanh,7,4,0.0018442232394590974,4.774148225784302
tanh,7,5,0.0038231927901506424,4.964345693588257
tanh,7,6,9.986578515963629e-05,4.977751731872559
tanh,7,7,0.00034850186784751713,5.183568716049194
tanh,7,8,0.003990965895354748,4.875690937042236
tanh,7,9,0.0024783306289464235,5.130309820175171
tanh,7,10,0.00039522757288068533,5.268676042556763
tanh,7,11,0.00244332873262465,5.364721059799194
tanh,7,12,0.0002623873297125101,5.133916854858398
tanh,7,13,0.00038580407272093,5.609931945800781
tanh,7,14,0.0029181307181715965,5.7537782192230225
tanh,7,15,0.0022057390306144953,5.747289180755615
tanh,7,16,0.006890442222356796,5.6565330028533936
tanh,7,17,0.0002810280420817435,5.846193075180054
tanh,7,18,0.006611139979213476,5.424298048019409
tanh,7,19,0.0025756717659533024,5.3910698890686035
tanh,7,20,0.0002452826884109527,5.389312028884888
tanh,8,1,48.46101379394531,5.195409774780273
tanh,8,2,0.010434404946863651,5.327425956726074
tanh,8,3,0.029133152216672897,5.499232053756714
tanh,8,4,0.00015100017481017858,5.273182153701782
tanh,8,5,0.0007318314746953547,5.363999128341675
tanh,8,6,0.0029579156544059515,5.527859926223755
tanh,8,7,0.001557930139824748,5.650579214096069
tanh,8,8,0.0032188654877245426,5.480669021606445
tanh,8,9,0.00033636894659139216,5.604134798049927
tanh,8,10,0.00012884843454230577,5.72744083404541
tanh,8,11,0.001020700903609395,5.909656763076782
tanh,8,12,0.0030166443902999163,5.711850881576538
tanh,8,13,0.002937871031463146,6.022928953170776
tanh,8,14,0.002952099544927478,6.257315158843994
tanh,8,15,0.001511164358817041,6.365084171295166
tanh,8,16,0.0031565078534185886,5.923569917678833
tanh,8,17,0.00028608881984837353,6.039127588272095
tanh,8,18,0.003170313546434045,6.1113481521606445
tanh,8,19,0.0034002228640019894,6.068279266357422
tanh,8,20,0.0017279790481552482,6.133990049362183
tanh,9,1,37.03736877441406,5.742901086807251
tanh,9,2,48.46101379394531,6.000869035720825
tanh,9,3,0.004554800223559141,6.017783880233765
tanh,9,4,0.005176124628633261,5.934331893920898
tanh,9,5,0.0011697825975716114,6.028640031814575
tanh,9,6,0.002324123168364167,6.419586658477783
tanh,9,7,0.0010410771938040853,6.404129981994629
tanh,9,8,0.008416618220508099,6.1925272941589355
tanh,9,9,0.0011866731802001595,6.36309814453125
tanh,9,10,0.0025736575480550528,6.524770736694336
tanh,9,11,0.004522653762251139,6.5626490116119385
tanh,9,12,0.00040973006980493665,6.340335845947266
tanh,9,13,6.34426178294234e-05,6.683677911758423
tanh,9,14,0.003907668404281139,6.854865312576294
tanh,9,15,0.0037528614047914743,7.2742018699646
tanh,9,16,0.004176443442702293,6.868125915527344
tanh,9,17,0.0005302014760673046,6.697371959686279
tanh,9,18,2.6172063371632248e-05,6.5174078941345215
tanh,9,19,0.0018839092226698995,6.558314085006714
tanh,9,20,0.0020063254050910473,6.538462162017822
tanh,10,1,48.4609375,6.305575132369995
tanh,10,2,34.886810302734375,6.395414113998413
tanh,10,3,0.0020675293635576963,6.499996900558472
tanh,10,4,34.82389450073242,6.474073886871338
tanh,10,5,0.0005854151677340269,6.541953802108765
tanh,10,6,0.00042233587009832263,6.6697258949279785
tanh,10,7,0.006932666990906,6.908853054046631
tanh,10,8,0.008083224296569824,6.5752129554748535
tanh,10,9,0.006625284440815449,6.780498027801514
tanh,10,10,0.003948740661144257,6.952534198760986
tanh,10,11,0.0005113696097396314,7.204521894454956
tanh,10,12,0.004465239122509956,6.993408918380737
tanh,10,13,0.005391292739659548,7.329154014587402
tanh,10,14,0.004113003145903349,7.452884912490845
tanh,10,15,0.003642615396529436,7.774518966674805
tanh,10,16,0.0010282170260325074,7.1712727546691895
tanh,10,17,0.002281998749822378,7.361343145370483
tanh,10,18,0.0040124510414898396,7.328123092651367
tanh,10,19,0.0076049817726016045,7.402117967605591
tanh,10,20,8.467971929349005e-05,7.395205974578857
relu,1,1,48.46101379394531,1.1691830158233643
relu,1,2,48.46101379394531,1.2572519779205322
relu,1,3,48.46101379394531,1.1616570949554443
relu,1,4,48.46101379394531,1.2507739067077637
relu,1,5,48.46101379394531,1.1726329326629639
relu,1,6,48.46101379394531,1.1719050407409668
relu,1,7,48.46101379394531,1.183194875717163
relu,1,8,48.46101379394531,1.1610329151153564
relu,1,9,48.46101379394531,1.2115769386291504
relu,1,10,48.46101379394531,1.1664280891418457
relu,1,11,48.46101379394531,1.2279407978057861
relu,1,12,48.46101379394531,1.1912791728973389
relu,1,13,48.46101379394531,1.1657130718231201
relu,1,14,48.46101379394531,1.171436071395874
relu,1,15,48.46101379394531,1.199488878250122
relu,1,16,48.46101379394531,1.1696629524230957
relu,1,17,48.46101379394531,1.1697402000427246
relu,1,18,48.46101379394531,1.1667940616607666
relu,1,19,48.46101379394531,1.162889003753662
relu,1,20,48.46101379394531,1.167283058166504
relu,2,1,48.46101379394531,1.6039860248565674
relu,2,2,48.46101379394531,1.5965490341186523
relu,2,3,48.46101379394531,1.603280782699585
relu,2,4,48.46101379394531,1.5878689289093018
relu,2,5,48.46101379394531,1.6587989330291748
relu,2,6,48.46101379394531,1.6156680583953857
relu,2,7,48.46101379394531,1.6331830024719238
relu,2,8,48.46101379394531,1.6294598579406738
relu,2,9,48.46101379394531,1.6361310482025146
relu,2,10,48.46101379394531,1.6417388916015625
relu,2,11,48.46101379394531,1.6926257610321045
relu,2,12,48.46101379394531,1.6411349773406982
relu,2,13,48.46101379394531,1.6620516777038574
relu,2,14,48.46101379394531,1.6818060874938965
relu,2,15,48.46101379394531,1.7072958946228027
relu,2,16,48.46101379394531,1.6859869956970215
relu,2,17,48.46101379394531,1.7113678455352783
relu,2,18,48.46101379394531,1.6925780773162842
relu,2,19,48.46101379394531,1.6852574348449707
relu,2,20,48.46101379394531,1.7140231132507324
relu,3,1,48.46101379394531,1.9911091327667236
relu,3,2,48.46101379394531,2.039623975753784
relu,3,3,48.46101379394531,2.1338388919830322
relu,3,4,48.46101379394531,2.0329627990722656
relu,3,5,48.46101379394531,2.0532889366149902
relu,3,6,48.46101379394531,2.05698823928833
relu,3,7,48.46101379394531,2.13228702545166
relu,3,8,48.46101379394531,2.050673007965088
relu,3,9,48.46101379394531,2.0910394191741943
relu,3,10,48.46101379394531,2.100308895111084
relu,3,11,48.46101379394531,2.1538660526275635
relu,3,12,48.46101379394531,2.102320909500122
relu,3,13,48.46101379394531,2.146275043487549
relu,3,14,48.46101379394531,2.197299003601074
relu,3,15,48.46101379394531,2.214937925338745
relu,3,16,48.46101379394531,2.1390511989593506
relu,3,17,48.46101379394531,2.1730639934539795
relu,3,18,48.46101379394531,2.160745859146118
relu,3,19,48.46101379394531,2.198284864425659
relu,3,20,48.46101379394531,2.176860809326172
relu,4,1,48.46101379394531,2.449193000793457
relu,4,2,48.46101379394531,2.4940690994262695
relu,4,3,48.46101379394531,2.4946448802948
relu,4,4,48.46101379394531,2.486330032348633
relu,4,5,48.46101379394531,2.500872850418091
relu,4,6,48.46101379394531,2.498734951019287
relu,4,7,48.46101379394531,2.5721828937530518
relu,4,8,48.46101379394531,2.4848697185516357
relu,4,9,48.46101379394531,2.622683048248291
relu,4,10,48.46101379394531,2.610426187515259
relu,4,11,48.46101379394531,2.6479709148406982
relu,4,12,48.46101379394531,2.5851120948791504
relu,4,13,48.46101379394531,2.642333984375
relu,4,14,48.46101379394531,2.70222806930542
relu,4,15,48.46101379394531,2.770066976547241
relu,4,16,48.46101379394531,2.6325151920318604
relu,4,17,48.46101379394531,2.6548409461975098
relu,4,18,48.46101379394531,2.6426780223846436
relu,4,19,48.46101379394531,2.6442818641662598
relu,4,20,48.46101379394531,2.647528886795044
