activation,layers,width,mse,train_time_sec
tanh,1,1,0.011386039666831493,0.9512012004852295
tanh,1,2,2.8021207981510088e-05,0.8893020153045654
tanh,1,3,0.00020604938617907465,0.9310529232025146
tanh,1,4,1.2949567462783307e-05,0.9241909980773926
tanh,1,5,2.380318437644746e-05,0.8994829654693604
tanh,1,6,6.988926770645776e-08,0.8955428600311279
tanh,1,7,7.250514499901328e-06,0.9016170501708984
tanh,1,8,1.5639736261618964e-07,0.9064440727233887
tanh,1,9,3.212950559827732e-06,0.9121921062469482
tanh,1,10,4.743591034639394e-06,0.9828341007232666
tanh,1,11,5.503722491084773e-07,0.9095468521118164
tanh,1,12,2.2065776192903286e-06,0.9430959224700928
tanh,1,13,1.5360917586804135e-06,0.9001638889312744
tanh,1,14,6.8188119257683866e-06,0.9054882526397705
tanh,1,15,6.982877494010609e-06,0.9064602851867676
tanh,1,16,3.3007094657477865e-07,0.9169902801513672
tanh,1,17,1.8861514945456292e-06,0.9356889724731445
tanh,1,18,1.7555788645040593e-06,0.9095990657806396
tanh,1,19,1.523974368922154e-08,0.9288051128387451
tanh,1,20,1.544470705994172e-06,0.9442720413208008
tanh,2,1,0.0001618020614841953,1.1904380321502686
tanh,2,2,3.1747833418194205e-05,1.201244831085205
tanh,2,3,3.0185713058017427e-06,1.2148809432983398
tanh,2,4,1.0359821317251772e-05,1.2348120212554932
tanh,2,5,5.449891432363074e-06,1.2187011241912842
tanh,2,6,1.4943339010642376e-06,1.2380223274230957
tanh,2,7,6.157486495794728e-06,1.2659640312194824
tanh,2,8,8.504096058459254e-07,1.223459005355835
tanh,2,9,2.2722677783804102e-07,1.267509937286377
tanh,2,10,2.4157923235179624e-06,1.2513198852539062
tanh,2,11,2.2847498115652343e-08,1.2659027576446533
tanh,2,12,7.441061598001397e-07,1.2792341709136963
tanh,2,13,5.319254796631867e-07,1.2920660972595215
tanh,2,14,4.080252153926267e-07,1.2849500179290771
tanh,2,15,5.92189394410525e-07,1.3512449264526367
tanh,2,16,6.17122282164928e-07,1.2996809482574463
tanh,2,17,6.432505728071192e-08,1.3227357864379883
tanh,2,18,1.7417087860849279e-07,1.3512108325958252
tanh,2,19,2.4182620350643447e-08,1.3162047863006592
tanh,2,20,1.211398767964056e-07,1.3173391819000244
tanh,3,1,0.00029693733085878193,1.5244600772857666
tanh,3,2,3.829810566458036e-07,1.6102838516235352
tanh,3,3,7.730229754088214e-07,1.5649800300598145
tanh,3,4,1.1477353609734564e-06,1.5429320335388184
tanh,3,5,7.193018518591998e-07,1.55538010597229
tanh,3,6,8.682542329552234e-08,1.5505211353302002
tanh,3,7,1.9541987512639025e-06,1.6214358806610107
tanh,3,8,3.657870806250685e-08,1.553297996520996
tanh,3,9,7.402036317216698e-07,1.5648691654205322
tanh,3,10,1.76175021238123e-07,1.6472878456115723
tanh,3,11,7.828202797099948e-07,1.642510175704956
tanh,3,12,1.0690894924891836e-07,1.5795230865478516
tanh,3,13,3.8295596027637657e-07,1.650918960571289
tanh,3,14,1.220816017166726e-07,1.6462600231170654
tanh,3,15,1.2857245224040525e-07,1.691762924194336
tanh,3,16,1.0056896115884228e-07,1.6494121551513672
tanh,3,17,2.2274702971003535e-08,1.6548008918762207
tanh,3,18,1.0026478491909074e-07,1.6526389122009277
tanh,3,19,7.837418536382756e-08,1.6951029300689697
tanh,3,20,0.001722272951155901,1.6614129543304443
tanh,4,1,4.607397931977175e-05,1.8057050704956055
tanh,4,2,2.323670571513503e-07,1.8378617763519287
tanh,4,3,1.9674323539220495e-06,1.8527460098266602
tanh,4,4,2.7333942398399813e-07,1.8279809951782227
tanh,4,5,1.7900084969824093e-07,1.8677709102630615
tanh,4,6,6.167638133547371e-08,1.874690055847168
tanh,4,7,3.643158663635404e-08,1.9028129577636719
tanh,4,8,3.778385178065946e-07,1.9145359992980957
tanh,4,9,2.6203549552406002e-08,1.904587984085083
tanh,4,10,0.00012422361760400236,1.9261319637298584
tanh,4,11,2.5144154847112077e-07,2.000854015350342
tanh,4,12,4.165223188579148e-08,1.923689842224121
