activation,layers,width,mse,train_time_sec
tanh,1,1,0.6306866407394409,1.9288380146026611
tanh,1,2,0.5146825313568115,1.8428888320922852
tanh,1,3,0.8862850666046143,1.8387551307678223
tanh,1,4,0.5871238708496094,1.9511349201202393
tanh,1,5,0.4938057065010071,1.8799359798431396
tanh,1,6,0.6536784172058105,1.9141261577606201
tanh,1,7,0.39374348521232605,1.8709421157836914
tanh,1,8,0.662158727645874,1.8123738765716553
tanh,1,9,0.5999590158462524,1.888873815536499
tanh,1,10,0.529306948184967,1.8683130741119385
tanh,1,11,0.5173032879829407,1.8213770389556885
tanh,1,12,0.4289909303188324,1.8663949966430664
tanh,1,13,0.3951290249824524,1.8013279438018799
tanh,1,14,0.40234604477882385,1.8247549533843994
tanh,1,15,0.35862213373184204,1.83237886428833
tanh,1,16,0.38571617007255554,1.8830599784851074
tanh,1,17,0.4775107204914093,1.9189200401306152
tanh,1,18,0.41764718294143677,1.8636469841003418
tanh,1,19,0.375550240278244,1.8553311824798584
tanh,1,20,0.44734397530555725,1.8108670711517334
tanh,2,1,0.5025050640106201,2.47286319732666
tanh,2,2,0.5179508924484253,2.484442949295044
tanh,2,3,1.0735656023025513,2.489551305770874
tanh,2,4,0.9312258958816528,2.5435128211975098
tanh,2,5,0.5671935677528381,2.5089638233184814
tanh,2,6,0.7648189663887024,2.55899977684021
tanh,2,7,0.5552588105201721,2.5648419857025146
tanh,2,8,0.7653600573539734,2.4976000785827637
tanh,2,9,0.3392457664012909,2.4548511505126953
tanh,2,10,0.6745357513427734,2.5734148025512695
tanh,2,11,0.6118149757385254,2.5660789012908936
tanh,2,12,0.6674230694770813,2.6379499435424805
tanh,2,13,0.41209709644317627,2.683974027633667
tanh,2,14,0.48501694202423096,2.6179697513580322
tanh,2,15,0.444156289100647,2.638550043106079
tanh,2,16,0.6569093465805054,2.62729811668396
tanh,2,17,0.4463236927986145,2.682663917541504
tanh,2,18,0.6715991497039795,2.6731619834899902
tanh,2,19,0.5159284472465515,2.6958401203155518
tanh,2,20,0.39250659942626953,2.6927490234375
tanh,3,1,0.5071018934249878,3.136402130126953
tanh,3,2,0.4321907162666321,3.127070903778076
tanh,3,3,0.8177585005760193,3.1337568759918213
tanh,3,4,0.5297048687934875,3.0848779678344727
tanh,3,5,0.6858184933662415,3.1325249671936035
tanh,3,6,0.5706955194473267,3.2283380031585693
tanh,3,7,0.6307233572006226,3.2395458221435547
tanh,3,8,0.6775548458099365,3.1891989707946777
tanh,3,9,0.06676642596721649,3.2870371341705322
tanh,3,10,0.41124919056892395,3.345522165298462
tanh,3,11,0.4965665340423584,3.4101309776306152
tanh,3,12,0.42295873165130615,3.2546379566192627
tanh,3,13,0.02781796269118786,3.4621670246124268
tanh,3,14,0.025356154888868332,3.371208906173706
tanh,3,15,0.5482341051101685,3.574079990386963
tanh,3,16,0.7256361246109009,3.4477312564849854
tanh,3,17,0.34466561675071716,3.6679317951202393
tanh,3,18,0.6393578052520752,3.510673999786377
tanh,3,19,0.4623531401157379,3.468277931213379
tanh,3,20,0.09480936080217361,3.4751532077789307
tanh,4,1,0.7498522400856018,3.805551767349243
tanh,4,2,0.3666597008705139,3.7686941623687744
tanh,4,3,0.7151036262512207,3.830231189727783
tanh,4,4,0.8029128909111023,3.826803207397461
tanh,4,5,0.8984922170639038,3.816565990447998
tanh,4,6,0.6564610004425049,3.7633891105651855
tanh,4,7,0.874367892742157,3.954169988632202
tanh,4,8,0.37375760078430176,3.8995327949523926
tanh,4,9,0.42957445979118347,3.94478702545166
tanh,4,10,0.7039396166801453,3.9852778911590576
tanh,4,11,0.09623248875141144,4.084483861923218
tanh,4,12,0.39811861515045166,4.142207860946655
tanh,4,13,0.45781609416007996,4.393905878067017
tanh,4,14,0.4373767077922821,4.313951015472412
tanh,4,15,0.032045282423496246,4.540224075317383
tanh,4,16,0.2407718449831009,4.0937180519104
tanh,4,17,0.4737374782562256,4.1560890674591064
tanh,4,18,0.19585733115673065,4.157206058502197
tanh,4,19,0.13562457263469696,4.189919948577881
tanh,4,20,0.5367751121520996,4.140804052352905
tanh,5,1,0.5197222828865051,4.323883056640625
tanh,5,2,1.4132132530212402,4.37987208366394
tanh,5,3,0.6361420750617981,4.436753034591675
tanh,5,4,1.2104202508926392,4.336872816085815
tanh,5,5,0.7058930993080139,4.494595766067505
tanh,5,6,0.6630343794822693,4.506080865859985
tanh,5,7,0.8513955473899841,4.653052091598511
