activation,layers,width,mse,mse_left,mse_right,train_time_sec
tanh,1,1,29.22169017791748,16.528060913085938,12.693629264831543,1.9556097984313965
tanh,1,2,44.773263931274414,16.427616119384766,28.34564781188965,1.9006409645080566
tanh,1,3,51.688133239746094,16.415241241455078,35.272891998291016,1.871473789215088
tanh,1,4,53.67729187011719,16.273544311523438,37.40374755859375,1.9259757995605469
tanh,1,5,53.90005302429199,16.345788955688477,37.554264068603516,1.8907017707824707
tanh,1,6,54.07351112365723,16.299169540405273,37.77434158325195,1.9197909832000732
tanh,1,7,54.17930793762207,16.385839462280273,37.7934684753418,1.9002091884613037
tanh,1,8,45.02657127380371,16.322553634643555,28.704017639160156,1.918734073638916
tanh,1,9,34.252702713012695,16.07276153564453,18.179941177368164,2.1035971641540527
tanh,1,10,42.83469200134277,15.81273078918457,27.021961212158203,2.005173921585083
tanh,1,11,44.96814727783203,16.269250869750977,28.698896408081055,2.009448289871216
tanh,1,12,44.48019790649414,16.207141876220703,28.273056030273438,2.056044101715088
tanh,1,13,44.835981369018555,16.289043426513672,28.546937942504883,1.9312312602996826
tanh,1,14,40.75860595703125,16.272117614746094,24.486488342285156,1.9474818706512451
tanh,1,15,30.253228187561035,15.901435852050781,14.351792335510254,1.9190998077392578
tanh,1,16,27.72170066833496,15.831110000610352,11.89059066772461,1.922135829925537
tanh,1,17,28.326435089111328,15.853590965270996,12.472844123840332,1.951991081237793
tanh,1,18,24.138209342956543,15.762231826782227,8.375977516174316,1.9179067611694336
tanh,1,19,28.537598609924316,16.2843074798584,12.253291130065918,1.9462110996246338
tanh,1,20,25.17176628112793,15.727243423461914,9.444522857666016,2.1174027919769287
tanh,2,1,32.84990310668945,16.547393798828125,16.302509307861328,2.5980141162872314
tanh,2,2,43.78809928894043,16.450672149658203,27.337427139282227,2.6390552520751953
tanh,2,3,51.152549743652344,16.082111358642578,35.070438385009766,2.591810941696167
tanh,2,4,53.48071479797363,16.477140426635742,37.00357437133789,2.681387186050415
tanh,2,5,54.03046798706055,16.33266830444336,37.69779968261719,2.9076921939849854
tanh,2,6,54.14605140686035,16.413084030151367,37.732967376708984,2.8636362552642822
tanh,2,7,54.152549743652344,16.433025360107422,37.71952438354492,3.041991949081421
tanh,2,8,53.65038013458252,15.917668342590332,37.73271179199219,2.802546977996826
tanh,2,9,54.0783576965332,16.34554672241211,37.732810974121094,3.0388271808624268
tanh,2,10,16.338592618703842,15.990213394165039,0.3483792245388031,2.777886390686035
tanh,2,11,54.107479095458984,16.376907348632812,37.73057174682617,2.9401299953460693
tanh,2,12,53.81088447570801,16.080698013305664,37.730186462402344,2.8416907787323
tanh,2,13,54.124711990356445,16.395780563354492,37.72893142700195,3.23569393157959
tanh,2,14,19.8491530418396,16.345714569091797,3.5034384727478027,3.141974925994873
tanh,2,15,16.511405736207962,16.356956481933594,0.1544492542743683,3.0446860790252686
tanh,2,16,16.480563193559647,16.379663467407227,0.10089972615242004,2.9972121715545654
tanh,2,17,15.265204094350338,15.202618598937988,0.0625854954123497,3.001116991043091
tanh,2,18,15.508271235972643,15.462942123413086,0.04532911255955696,2.9558117389678955
tanh,2,19,15.324048537760973,15.276585578918457,0.047462958842515945,2.803785800933838
tanh,2,20,15.191847760230303,15.163469314575195,0.028378445655107498,2.797766923904419
tanh,3,1,29.949034690856934,16.555341720581055,13.393692970275879,3.2442541122436523
tanh,3,2,44.61781311035156,16.511516571044922,28.10629653930664,3.2711100578308105
tanh,3,3,19.46247100830078,16.492874145507812,2.9695968627929688,3.2749311923980713
tanh,3,4,53.508262634277344,16.51152801513672,36.996734619140625,3.223757028579712
tanh,3,5,30.58902645111084,16.484411239624023,14.104615211486816,3.323976993560791
tanh,3,6,54.135372161865234,16.422256469726562,37.71311569213867,3.398566961288452
tanh,3,7,54.123329162597656,16.394432067871094,37.72889709472656,3.4361019134521484
tanh,3,8,54.195695877075195,16.466615676879883,37.72908020019531,3.336073875427246
tanh,3,9,53.90522766113281,16.177040100097656,37.728187561035156,3.388519048690796
tanh,3,10,16.585416793823242,16.43587303161621,0.14954376220703125,3.432137966156006
tanh,3,11,16.510360091924667,16.43024444580078,0.08011564612388611,3.577484130859375
tanh,3,12,50.79158592224121,13.063894271850586,37.727691650390625,3.469797134399414
tanh,3,13,15.550039421766996,15.490883827209473,0.05915559455752373,3.474020004272461
tanh,3,14,16.489115748554468,16.453210830688477,0.03590491786599159,3.532470941543579
tanh,3,15,16.475249415263534,16.45111656188965,0.024132853373885155,3.702303886413574
tanh,3,16,14.590867672115564,14.541126251220703,0.04974142089486122,3.589977264404297
tanh,3,17,15.145231395028532,15.130300521850586,0.014930873177945614,3.632194995880127
tanh,3,18,54.140451431274414,16.444231033325195,37.69622039794922,3.720999240875244
tanh,3,19,16.434002470225096,16.40801239013672,0.025990080088377,3.8863439559936523
tanh,3,20,12.533465077867731,12.529728889465332,0.0037361884023994207,3.8792293071746826
tanh,4,1,28.626076698303223,16.555944442749023,12.0701322555542,4.109662294387817
tanh,4,2,44.40375900268555,16.547870635986328,27.85588836669922,4.368288040161133
tanh,4,3,51.66718673706055,16.53229522705078,35.134891510009766,4.077950954437256
tanh,4,4,53.798789978027344,16.53594970703125,37.262840270996094,3.98189115524292
tanh,4,5,54.16752052307129,16.52434730529785,37.64317321777344,4.051408767700195
tanh,4,6,54.1634407043457,16.439064025878906,37.7243766784668,4.108021020889282
tanh,4,7,52.636080741882324,14.909697532653809,37.726383209228516,4.18066668510437
