activation,layers,width,mse,train_time_sec
tanh,1,1,0.2672939327233144,1.0483250617980957
tanh,1,2,0.4049526012027408,1.1029908657073975
tanh,1,3,0.28512917514033675,1.2651307582855225
tanh,1,4,0.2657275462310398,1.1993498802185059
tanh,1,5,0.2688205693318364,1.289978265762329
tanh,1,6,0.29282131761374597,1.3002591133117676
tanh,1,7,0.30221569057213055,1.3818399906158447
tanh,1,8,0.23306833831216964,1.3057610988616943
tanh,1,9,0.5033657296043422,1.3920161724090576
tanh,1,10,0.48790681531548746,1.4168989658355713
tanh,1,11,0.721076972980634,1.6159768104553223
tanh,1,12,0.21185705224026447,1.477320909500122
tanh,1,13,0.2233365538945309,1.4147577285766602
tanh,1,14,0.4827661448605718,1.441845178604126
tanh,1,15,0.2294348114246462,1.464920997619629
tanh,1,16,0.26348714729697886,1.5602810382843018
tanh,1,17,0.4016467373687954,1.7113149166107178
tanh,1,18,0.35659778379065676,1.6358320713043213
tanh,1,19,0.2159336202957179,1.5187571048736572
tanh,1,20,0.19156016321738276,1.532977819442749
tanh,1,21,0.3266732715562408,1.56278395652771
tanh,2,1,0.6329059180708375,1.4432330131530762
tanh,2,2,0.39287055376708635,1.6882350444793701
tanh,2,3,0.29004050482436333,2.03627610206604
tanh,2,4,0.3085180212336284,1.8963730335235596
tanh,2,5,0.521290456076259,2.127685785293579
tanh,2,6,0.3872487576558265,2.0982799530029297
tanh,2,7,0.2947391279476028,2.188384771347046
tanh,2,8,0.3641405890376488,2.2040319442749023
tanh,2,9,0.45376228030031923,2.388317823410034
tanh,2,10,0.3510233199607701,2.4272711277008057
tanh,2,11,0.19018945533719395,2.551738739013672
tanh,2,12,0.05773673582246788,2.5125412940979004
tanh,2,13,0.040628903680015455,2.541254997253418
tanh,2,14,0.1147583586611707,2.508530855178833
tanh,2,15,0.08953873887069662,2.608657121658325
tanh,2,16,0.0075494252248621,2.4931869506835938
tanh,2,17,0.10667305974174637,2.6214230060577393
tanh,2,18,0.00240195502413093,2.705852746963501
tanh,2,19,0.002588882807651416,2.6761860847473145
tanh,2,20,0.0044732797783701,2.6821279525756836
tanh,2,21,0.0021415907931701555,2.755200147628784
tanh,3,1,0.3981026045433494,1.9251978397369385
tanh,3,2,0.24630954769126073,2.3360989093780518
tanh,3,3,0.6550375347236217,2.7924020290374756
tanh,3,4,0.7185367551784301,2.5551869869232178
tanh,3,5,0.30697948040183426,3.030003309249878
tanh,3,6,0.18849085226801557,2.947209119796753
tanh,3,7,0.11343803588443689,2.9776549339294434
tanh,3,8,0.2044693126419852,3.0276448726654053
tanh,3,9,0.16994671763923758,3.1672911643981934
tanh,3,10,0.017640451696128975,3.2541251182556152
tanh,3,11,0.019602147713070478,3.4918549060821533
tanh,3,12,0.008902103228567637,3.459825038909912
tanh,3,13,0.004053016395261821,3.46842098236084
tanh,3,14,0.009169139186585238,3.5039079189300537
tanh,3,15,0.013382126422421817,3.561048746109009
tanh,3,16,0.009321913562523302,3.442188024520874
tanh,3,17,0.010970657121732712,3.935955286026001
tanh,3,18,0.005342686501577174,4.00273323059082
tanh,3,19,0.004040162402038592,3.9675681591033936
tanh,3,20,0.003285668052750291,4.222131252288818
tanh,3,21,0.00488626553653285,4.047355890274048
tanh,4,1,0.6761819499942793,2.35205078125
tanh,4,2,0.4976924246150142,2.887082099914551
tanh,4,3,0.8553466882558468,3.5448198318481445
tanh,4,4,0.13827469203449294,3.259531021118164
tanh,4,5,0.09982888035108385,3.8211371898651123
tanh,4,6,0.155431177616185,3.6658220291137695
tanh,4,7,0.03248217615137305,3.7006759643554688
tanh,4,8,0.1159154956216106,3.7444911003112793
tanh,4,9,0.021337607737034654,4.091315031051636
tanh,4,10,0.006135470967907331,4.2715678215026855
tanh,4,11,0.023449931684060503,4.366684913635254
tanh,4,12,0.01416034830095275,4.4201719760894775
tanh,4,13,0.008368037131724413,4.501233100891113
tanh,4,14,0.01062161468315636,4.525859832763672
tanh,4,15,0.026029817958239863,4.7507758140563965
tanh,4,16,0.0050529655405009595,4.566575288772583
tanh,4,17,0.004263740567982009,5.036540269851685
tanh,4,18,0.005588479765177755,5.076031923294067
tanh,4,19,0.0038839640320256067,5.3900980949401855
tanh,4,20,0.0037938767993924015,5.195160150527954
tanh,4,21,0.0032727050708114967,5.435489177703857
tanh,5,1,0.3509713822972189,2.7940759658813477
tanh,5,2,0.6502642396190011,3.469193935394287
tanh,5,3,0.2612628373185602,4.344405174255371
tanh,5,4,0.21698023894278404,3.942683219909668
tanh,5,5,0.02714704164388177,4.5865478515625
tanh,5,6,0.10860794867863617,4.290822267532349
tanh,5,7,0.2872876614589603,4.470062732696533
